product_name,product_price,product_capacity,product_image,product_link,category
Krone Sparkling Night Nectar Rose ,"₦6,400.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/Krone-Night-Nectar-Rosé-1%20(1)-450x450.png,https://www.cellarcentral.ng/wines?product_id=512,wine
Maison Castel Cabernet Sauvignon 2020 ,"₦2,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/MAISON%20CASTEL/cabernet-sauvignon-IGP-pays-d-oc-450x450.png,https://www.cellarcentral.ng/wines?product_id=814,wine
Maison Castel Sauvignon Blanc 2020 ,"₦4,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/MAISON%20CASTEL/Maison%20castel%20Sauvignon%20Blanc-450x450.jpeg,https://www.cellarcentral.ng/wines?product_id=886,wine
MARTINI Asti Sparkling Wine ,"₦5,400.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/ASTI%20SPARKLING%20WINE/Large_3000_PNG-FY21_AT_Martini_Asti_75cl-450x450.png,https://www.cellarcentral.ng/wines/martini-asti,wine
Martini Prosecco ,"₦5,600.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/Martini-Prosecco-Bottle-Shot-450x450.gif,https://www.cellarcentral.ng/wines/martini-prosecco,wine
Martini Rose ,"₦5,400.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/Martini-Rose-Bottle-Shot-450x450.gif,https://www.cellarcentral.ng/wines/martini-rose,wine
MARTINI ® Brut ,"₦5,800.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/BACARDI%20MARTINI/MARTINI/martini%20Brut-450x450.jpg,https://www.cellarcentral.ng/wines/martini-brut,wine
Pascal Jolivet Sancerre 2020 ,"₦16,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/Pascal%20Jolivet/Pascal%20Jolivet%20Sancerre-450x450.png,https://www.cellarcentral.ng/wines?product_id=924,wine
Penfolds St Henri Shiraz ,"₦35,800.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/0_0_orig%20(1)-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=441,wine
Robertson Winery Chapel Red ,"₦4,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/RWchapelRedNV11-248x400-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=399,wine
Robertson Winery Chapel Sweet Red ,"₦4,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/x12436_robertson_winery_chapel_natural_sweet_red.jpg.pagespeed.ic.fN5aIEfPTj-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=505,wine
Robertson Winery Chapel White ,"₦4,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/RWchapelWhtNV11-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=493,wine
Robertson Winery Natural Sweet Red ,"₦4,300.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/Robertson/Robertson_NS_Red-450x450.png,https://www.cellarcentral.ng/wines?product_id=748,wine
Robertson Winery Natural Sweet Rose ,"₦4,300.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/Robertson/Robertson_NS_Rose-450x450.png,https://www.cellarcentral.ng/wines?product_id=749,wine
Robertson Winery Natural Sweet White ,"₦4,300.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/Robertson/Robertson_NS_White-450x450.png,https://www.cellarcentral.ng/wines?product_id=750,wine
Roche Mazet Chardonnay ,"₦4,400.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/ROCHE%20MAZET/roche%20mazet-vin-blanc-chardonnay-450x450.png,https://www.cellarcentral.ng/wines?product_id=916,wine
Roche Mazet Sauvignon ,"₦2,400.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/ROCHE%20MAZET/roche%20mazet%20sauvignon%20blanc-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=836,wine
Sandeman White Porto ,"₦6,000.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/sandeman-fine-white-2017-450x450.png,https://www.cellarcentral.ng/wines/sandeman-white-port,wine
Santa Cristina Umbria ,"₦7,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/wines/santa-cristina-umbria-bianco-450x450.png,https://www.cellarcentral.ng/wines?product_id=727,wine
Scavi and Ray,"₦6,500.00",,https://www.cellarcentral.ng/image/cache/catalog/NON%20ALCOHOLIC/scavy%20and%20ray-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=701,wine
Sweet Lips Natural Sweet Rose ,"₦3,500.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/SWEET%20LIPS/Sweet-lips-Natural-Sweet-Rose-1-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=804,wine
Sweet Lips Natural Sweet White ,"₦3,500.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/wines/SWEET%20LIPS/Sweetlips-white-jpg-450x450.jpg,https://www.cellarcentral.ng/wines?product_id=805,wine
Terrazas Chardonnay ,"₦8,500.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/bottle-450x450.png,https://www.cellarcentral.ng/wines?product_id=445,wine
