gift_ideas_name,gift_ideas_price,gift_ideas_vol,gift_ideas_image,gift_ideas_product_link
Mother's Day Gift Set 2,"₦60,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Mother's%20day/WhatsApp%20Image%202023-03-09%20at%2015.20.57-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=934
Palmes D’or 2008 Intense Brut ,"₦100,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/nicolas-feuillatte-palmes-dor-champagne-brut-2006-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=810
Palmes D’or 2008 Intense Rose ,"₦124,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/nicolas-feuillatte-palmes-d-or-rose-intense-vintage-2008-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=809
Penfolds St Henri Shiraz ,"₦35,800.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/0_0_orig%20(1)-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=441
Sainte Croix XO ,"₦76,000.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Cognac/SANTE%20CROIX/Sainte-Croix-XO-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=844
The Macallan Rare Cask Whisky,"₦153,600.00",,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20MACALLAN/macallan-rare-cask-2021-release-p9396-15437_image-450x450.jpg,https://www.cellarcentral.ng/special-offers/macallan-rare-cask-whisky
The Macallan Triple Cask Matured 12 Years ,"₦31,200.00",70cl,https://www.cellarcentral.ng/image/cache/catalog/Whiskey/THE%20MACALLAN/macallan%20triple%20cask%2012%20yrs-450x450.jpg,https://www.cellarcentral.ng/special-offers?product_id=876
Valentine's Gift Set for Her 1,"₦100,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Valentines%20Gift%20sets/WhatsApp%20Image%202023-02-13%20at%2010.28.19%20AM%20(3)-450x450.jpeg,https://www.cellarcentral.ng/special-offers?product_id=918
Valentine's Gift Set for Her 2,"₦60,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Valentines%20Gift%20sets/WhatsApp%20Image%202023-02-13%20at%2010.28.19%20AM%20(2)-450x450.jpeg,https://www.cellarcentral.ng/special-offers?product_id=919
Valentine's Gift Set for Him 1,"₦100,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Valentines%20Gift%20sets/WhatsApp%20Image%202023-02-13%20at%2010.28.19%20AM-450x450.jpeg,https://www.cellarcentral.ng/special-offers?product_id=920
Valentine's Gift Set for Him 2,"₦60,000.00",,https://www.cellarcentral.ng/image/cache/catalog/GIFTS%20BY%20CC/Valentines%20Gift%20sets/WhatsApp%20Image%202023-02-13%20at%2010.28.19%20AM%20(1)-450x450.jpeg,https://www.cellarcentral.ng/special-offers?product_id=922
Veuve Clicquot Brut ,"₦50,420.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Veuve/Veuve-Clicquot-Yellow-Label-450x450.jpg,https://www.cellarcentral.ng/special-offers/veuve-clicquot-brut
