Champagne_name,Champagne_price,Champagne_vol,Champagne_image,Champagne_product_link
Nicolas Feuillatte Reserve Exclusive Rose ,"₦40,450.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/NicolasFeuillatteChampagneRoseExclusiveBrut-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=935
Nicolas Feuillatte Reserve Exclusive Rose Mini ,"₦22,530.00",37.5cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/nicolas_feuillatic_reserve_rose_px__51215-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=937
Palmes D’or 2008 Intense Brut ,"₦100,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/nicolas-feuillatte-palmes-dor-champagne-brut-2006-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=810
Palmes D’or 2008 Intense Rose ,"₦124,800.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/NICOLAS%20FEUILLATTE/nicolas-feuillatte-palmes-d-or-rose-intense-vintage-2008-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=809
Rich Lady Sparkling Rose Demi-sec (Sleeve) ,"₦3,000.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Sparkling%20Wines/rich-lady-sleeve-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=780
Rich Lady Sparkling Rose Wine,"₦2,600.00",,https://www.cellarcentral.ng/image/cache/catalog/wines/Rich%20Lady%20Sparkling%20Rose%20Wine-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=657
Ruinart Champagne Brut ,"₦39,700.00",75cl,https://www.cellarcentral.ng/image/cache/catalog/Champagne/ruinart-brut-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling?product_id=724
Veuve Clicquot Brut ,"₦50,420.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Veuve/Veuve-Clicquot-Yellow-Label-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling/veuve-clicquot-brut
Veuve Clicquot Rich ,"₦74,900.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/champagne-450x450.jpg,https://www.cellarcentral.ng/champagne-and-sparkling/veuve-clicquot-rich
Veuve Clicquot Rose ,"₦51,700.00",75CL,https://www.cellarcentral.ng/image/cache/catalog/Champagne/Veuve/rose-450x450.png,https://www.cellarcentral.ng/champagne-and-sparkling/veuve-clicquot-rose
